INSERT INTO Furnizori VALUES (73654,'S.C PHARMWAY S.R.L','Str. Strapungerii ','Iasi',234567899,1000,'IBAN100100');,
INSERT INTO Furnizori VALUES (73655,'S.C ALFA S.R.L','Str. Pungii, nr 4','Iasi',234567890,2000,'IBAN100101');
INSERT INTO Furnizori VALUES (73656,'S.C BETA S.R.L','Str. Buncar, nr 4','Barlad',789898989,2000,'IBAN100102');
INSERT INTO Furnizori VALUES (73657,'S.C FABIOL S.R.L','Str. Florilor, nr 45','Vaslui',745234234,7000,'IBAN100103');
INSERT INTO Furnizori VALUES (73658,'S.C C.H.M.P S.R.L','Str. AleiiRosii, nr 56','Bucuresti',232567567,600,'IBAN100104');
INSERT INTO Furnizori VALUES (73659,'S.C HELP N.E.T S.R.L','Str. Bucuriei, nr 66','Vrancea',289676767,890,'IBAN100105');
INSERT INTO Furnizori VALUES (73660,'S.C ROPHARMA S.R.L','Str. Rozelor, nr 2','Bacau',89898989,2300,'IBAN100106');
INSERT INTO Furnizori VALUES (73661,'S.C RIGA S.R.L','Str. Livezii, nr. 1','Bacau',234234234,1500,'IBAN100107');
INSERT INTO Furnizori VALUES (73662,'S.C RUGOS S.R.L','B-dul Maghearu, nr 56','Iasi',9896767,1700,'IBAN100180');
INSERT INTO Furnizori VALUES (73663,'S.C PUFARIN S.R.L','B-dul Alexandru cel Bun, nr 46','Roman',1234567890,1800,'IBAN100190');
INSERT INTO Furnizori VALUES (73664,'S.C PUFFY S.R.L','B-dul Furnicii, nr 1','Iasi',923345345,2500,'IBAN100110');
